,address1,address2,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Mr. Eduardo  de Salles Bartolomeo', 'age': 59, 'title': 'President & CEO', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
1,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Mr. Gustavo Duarte Pimenta', 'age': 45, 'title': 'Executive VP of Finance & Investor Relations', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
2,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Mr. Carlos Henrique Senna Medeiros', 'age': 60, 'title': 'Executive Vice President of Operations', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
3,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Murilo  Muller', 'title': 'Controllership Director & Chief Accountant', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
4,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Mr. Rafael Jabur Bittar', 'age': 43, 'title': 'Executive Vice President of Technical', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
5,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Mr. Denis  Cuenca', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
6,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Ms. Marina Barrenne De Artagao Quental', 'age': 59, 'title': 'Executive Vice President of People', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
7,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Mr. Alexandre Gomes Pereira', 'age': 54, 'title': 'Executive Vice President of Projects', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
8,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': ""Mr. Alexandre Silva D'Ambrosio"", 'age': 61, 'title': 'Executive Vice-President of Corporate & External Affairs', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
9,Praia de Botafogo 186,"offices 1101, 1701 and 1801 Botafogo",Rio De Janeiro,RJ,22250-145,Brazil,55 21 3485 5000,https://www.vale.com,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Vale S.A., together with its subsidiaries, produces and sells iron ore, iron ore pellets, nickel, and copper in Brazil and internationally. The company operates through Iron Solutions and Energy Transition Materials segments. The Iron Solutions segment produces and extracts iron ore and pellets, and other ferrous products; and provides related logistic services. The Energy Transition Materials segment produces and extracts nickel; and its by-products, such as gold, silver, cobalt, precious metals, and others, as well as copper used in the construction sector to produce pipes and electrical wires. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.","{'maxAge': 1, 'name': 'Mr. Marcello Magistrini Spinelli', 'age': 50, 'title': 'Executive Vice President of Iron Solutions', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",6,2,1,10,1,1719792000,86400,2,60.23,60.26,60.21,60.75,60.23,60.26,60.21,60.75,7.25,0.1204,1710201600,0.605,6.0,0.928,6.0119047,5.10101,17778600,17778600,17693875,17643280,17643280,60.56,60.61,258806841344,59.36,78.55,1.2556368,62.4648,66.58635,6.989,0.116038516,BRL,332679348224,0.18781,3993977015,4270739968,0.11468001,0.45011002,4328880128,43.738,1.3855228,1703980800,1735603200,1711843200,-0.129,38710001664,10.08,11.88,-0.01,2:1,1188777600,1.614,3.94,-0.16067445,0.21656322,2.738548,1710201600,SAO,EQUITY,VALE3.SA,VALE3.SA,VALE        ON      NM,Vale S.A.,946900800,America/Sao_Paulo,BRT,f01657cb-27f5-3bbb-acb6-7cdc40c5c279,finmb_874225,-10800000,60.6,116.98,68.3,87.35,82.39,2.4,buy,13,19156000768,4.475,84436000768,86405996544,0.441,1.118,206115995648,44.348,47.664,0.09717,0.1996,13909999616,64753000448,-0.097,-0.044,0.41351002,0.40965,0.30761,BRL,
