,0,1,Ticker
0,Papel,AURE3,AURE3.SA
1,Cotação,"12,16",AURE3.SA
2,Tipo,ON NM,AURE3.SA
3,Data últ cot,24/07/2024,AURE3.SA
4,Empresa,AUREN ON NM,AURE3.SA
5,Min 52 sem,"11,32",AURE3.SA
6,Setor,Energia Elétrica,AURE3.SA
7,Max 52 sem,"13,25",AURE3.SA
8,Subsetor,Energia Elétrica,AURE3.SA
9,Vol $ méd (2m),39.842.800,AURE3.SA
10,Valor de mercado,12.160.000.000,AURE3.SA
11,Últ balanço processado,31/03/2024,AURE3.SA
12,Valor da firma,15.603.900.000,AURE3.SA
13,Nro. Ações,1.000.000.000,AURE3.SA
14,Dia," -1,14%",AURE3.SA
15,P/L,"-41,36",AURE3.SA
16,LPA,"-0,29",AURE3.SA
17,Mês,"-1,46%",AURE3.SA
18,P/VP,"0,99",AURE3.SA
19,VPA,"12,22",AURE3.SA
20,30 dias,"-0,90%",AURE3.SA
21,P/EBIT," 13,84",AURE3.SA
22,Marg. Bruta," 20,9%",AURE3.SA
23,12 meses,"-2,48%",AURE3.SA
24,PSR," 1,97",AURE3.SA
25,Marg. EBIT," 14,3%",AURE3.SA
26,2024,"-5,70%",AURE3.SA
27,P/Ativos," 0,44",AURE3.SA
28,Marg. Líquida," -4,8%",AURE3.SA
29,2023,"11,03%",AURE3.SA
30,P/Cap. Giro," 5,62",AURE3.SA
31,EBIT / Ativo,"3,2%",AURE3.SA
32,2022,"-9,56%",AURE3.SA
33,P/Ativ Circ Liq," -1,20",AURE3.SA
34,ROIC," 3,6%",AURE3.SA
35,2021,"0,00%",AURE3.SA
36,Div. Yield,"15,6%",AURE3.SA
37,ROE," -2,4%",AURE3.SA
38,2020,"0,00%",AURE3.SA
39,EV / EBITDA," 10,27",AURE3.SA
40,Liquidez Corr," 1,68",AURE3.SA
41,2019,"0,00%",AURE3.SA
42,EV / EBIT," 17,75",AURE3.SA
43,Div Br/ Patrim," 0,53",AURE3.SA
44,,,AURE3.SA
45,Cres. Rec (5a)," 38,4%",AURE3.SA
46,Giro Ativos," 0,22",AURE3.SA
47,Ativo,27.694.400.000,AURE3.SA
48,Dív. Bruta,6.538.490.000,AURE3.SA
49,Disponibilidades,3.094.620.000,AURE3.SA
50,Dív. Líquida,3.443.880.000,AURE3.SA
51,Ativo Circulante,5.347.930.000,AURE3.SA
52,Patrim. Líq,12.223.500.000,AURE3.SA
53,Receita Líquida,1.397.530.000,AURE3.SA
54,EBIT,201.666.000,AURE3.SA
55,Lucro Líquido,253.618.000,AURE3.SA
