,address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Gustavo  Estrella', 'age': 49, 'title': 'CEO, Member of Executive Board & Director', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
1,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Yuehui  Pan', 'age': 42, 'title': 'CFO, Investor Relations Officer, Member of Executive Board & Director', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
2,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Ms. Karin Regina Luchesi', 'age': 46, 'title': 'VP of Market Operations & Member of Executive Board', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
3,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Luis Henrique Ferreira Pinto', 'age': 62, 'title': 'VP of Regulated Operations & Member of Executive Board', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
4,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Gustavo Pinto Gachineiro', 'age': 52, 'title': 'VP of Legal & Institutional Relations and Member of Executive Board', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
5,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Vitor Fagali de Souza', 'age': 45, 'title': 'VP of Business Development & Member of Executive Board', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
6,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Flavio Henrique Ribeiro', 'age': 42, 'title': 'VP of Business Management & Member of Executive Board', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
7,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Huang  Futao', 'title': 'Interim Executive VP, VP of Strategy, Innovation & Business Excellence & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
8,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Sérgio Luiz Felice', 'title': 'Accounting Director, Chief Accounting Officer & Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
9,"Rua Jorge Figueiredo Corrêa, nº 1.632",Jardim Professora TarcIlia,Campinas,SP,13087-397,Brazil,https://www.cpfl.com.br,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CPFL Energia S.A. engages in the generation, transmission, distribution, and commercialization of electricity to residential, industrial, and commercial customers in Brazil. The company generates electricity through hydro, wind, biomass, and solar resources. It also manufactures, rents, maintains, and commercializes mechanical equipment and services; and provides infrastructure and fleet, human resources, financial, supply and logistics, call center, IT, and telecommunication services. The company was incorporated in 1998 and is based in Campinas, Brazil. CPFL Energia S.A. is a subsidiary of State Grid Brazil Power Participações S.A.","{'maxAge': 1, 'name': 'Mr. Gustavo Henrique de Aguiar Sablewski', 'title': 'Secretary', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,2,1,3,1719792000,86400,2,32.8,32.7,32.5,33.27,32.8,32.7,32.5,33.27,6.11,0.18620001,1714348800,0.5925,5.46,0.576,6.772074,7.599078,1844400,1844400,1743017,1334700,1334700,32.97,33.07,38001205248,30.89,39.0,0.94837695,33.4668,35.07715,2.754,0.08396342,BRL,64815968256,0.13997,187713771,1152249984,0.83707,0.08472,1168060032,17.821,1.8506258,1703980800,1735603200,1711843200,0.051,5608457216,4.87,4.34,1.66,1.025076:1,1462147200,1.618,4.998,-0.09116101,0.21656322,2.374364,1714348800,SAO,EQUITY,CPFE3.SA,CPFE3.SA,CPFL ENERGIAON      NM,CPFL Energia S.A.,946900800,America/Sao_Paulo,BRT,05173050-73b1-3996-921f-651684fc1a26,finmb_4509268,-10800000,32.98,49.0,34.0,39.66,39.7,2.8,hold,9,5400062976,4.687,12967507968,31297314816,0.763,0.919,40069726208,144.502,34.775,0.09029,0.27625,2700947456,7084918784,0.051,0.033,0.34867,0.32362,0.31823,BRL,
