,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Alberto Yoshikazu Kuba', 'title': 'CEO, Director of Industrial Motors & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
1,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Andre Luis Rodrigues', 'title': 'CFO, Administrative & Financial Director and Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
2,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Carlos Diether Prinz', 'title': 'Director of WEG T&D and Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
3,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Eduardo  De Nobrega', 'title': 'Director of  China Division & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
4,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Manfred Peter Johann', 'title': 'Director of Automation Division & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
5,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Daniel Marteleto Godinho', 'title': 'Director of Sustainability & Institutional Relations and Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
6,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Andre Menegueti Salgueiro', 'title': 'Finance Director & Investor Relations Officer & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
7,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. João Paulo Gualberto da Silva', 'title': 'Director of WEG Energy & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
8,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Julio Cesar Ramires', 'title': 'Director of Commercial Motors & Member of Executive Board', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
9,"Avenida Prefeito Waldemar Grubba, 3300",Jaraguá do Sul,SC,89256-900,Brazil,55 47 3276 4000,https://www.weg.net/institutional/BR/en/,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"WEG S.A. engages in the production and sale of capital goods in Brazil and internationally. The company offers electric motors, generators, and transformers; gear units and geared motors; hydraulic and steam turbines; frequency converters; motor starters and maneuver devices; control and protection of electric circuits for industrial automation; power sockets and switches; and electric traction solutions for heavy vehicles, SUV vehicles, locomotives, and sea transportation capital goods. It provides solutions for the generation of renewable and distributed energy through hydro, thermal, biomass, wind, and solar energy power plants; solutions for industry; UPSs and alternators for groups of generators; conventional and movable electric substations; industrial electrical and electronic systems; industrial paint and varnish; and paints for automotive repainting. WEG S.A. was founded in 1961 and is headquartered in Jaraguá do Sul, Brazil. WEG S.A. operates as a subsidiary of WEG Participações e Serviços S.A.",40793,"{'maxAge': 1, 'name': 'Mr. Elder Jurandir Stringari', 'title': 'Member of Management Board & Director of International Division', 'exercisedValue': 0, 'unexercisedValue': 0}",9,9,8,6,9,1719792000,86400,2,47.05,46.95,46.41,47.14,47.05,46.95,46.41,47.14,0.25,0.0053,1719792000,0.504,0.78,0.619,34.051094,31.520271,3897200,3897200,6780701,5764310,5764310,46.54,46.58,195719610368,31.47,47.92,5.9596577,41.095,37.12695,0.481,0.010223167,BRL,194714861568,0.17518,1484777425,4195490048,0.64559996,0.12454,4195490048,4.149,11.243673,1703980800,1735603200,1711843200,0.016,5752980992,1.37,1.48,-8.91,2:1,1619568000,5.929,27.592,0.16230237,0.21656322,0.062765,1719792000,SAO,EQUITY,WEGE3.SA,WEGE3.SA,WEG         ON      NM,WEG S.A.,946900800,America/Sao_Paulo,BRT,ec4a2341-4e53-38fd-992f-54d88042e953,finmb_879809,-10800000,46.65,54.0,34.0,45.45,47.0,2.5,buy,11,6530195968,1.557,7057015808,3293863936,1.155,1.838,32840747008,18.333,7.828,0.13495,0.35596,3684866560,6305183232,0.016,0.044,0.33265,0.21489,0.19829,BRL,
